Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20210602-MA-MBB1F_S68_L001_R2_001	(1.0, 9.343775317310289)	(2.0, 2.835538752362949)	(3.0, 1.9038617337294086)	(4.0, 1.5662975965433434)	(5.0, 0.8776667566837698)	(6.0, 1.7013232514177694)	(7.0, 1.1342155009451798)	(8.0, 0.43208209559816363)	(9.0, 0.8506616257088847)	('>10', 13.583580880367268)	('>50', 7.480421280043208)	('>100', 27.545233594382935)	('>500', 0.0)	('>1k', 30.745341614906835)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBB1P_S6_L001_R1_001	(1.0, 9.388185654008439)	(2.0, 4.746835443037975)	(3.0, 3.481012658227848)	(4.0, 2.2151898734177213)	(5.0, 2.90084388185654)	(6.0, 0.6329113924050633)	(7.0, 0.5537974683544303)	(8.0, 0.8438818565400843)	(9.0, 0.4746835443037975)	('>10', 23.918776371308017)	('>50', 0.0)	('>100', 13.080168776371309)	('>500', 37.76371308016878)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBB1P_S6_L001_R2_001	(1.0, 11.94620253164557)	(2.0, 4.5358649789029535)	(3.0, 3.322784810126582)	(4.0, 2.0042194092827006)	(5.0, 2.109704641350211)	(6.0, 1.5822784810126582)	(7.0, 1.4767932489451476)	(8.0, 0.6329113924050633)	(9.0, 0.23734177215189875)	('>10', 14.978902953586498)	('>50', 13.212025316455698)	('>100', 8.095991561181433)	('>500', 0.0)	('>1k', 35.86497890295359)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBB1W_S34_L001_R1_001	(1.0, 7.936507936507936)	(2.0, 3.25497287522604)	(3.0, 1.9891500904159132)	(4.0, 1.6877637130801686)	(5.0, 1.3060076351215593)	(6.0, 0.8438818565400843)	(7.0, 1.4064697609001406)	(8.0, 0.9644364074743821)	(9.0, 0.18083182640144665)	('>10', 19.750853928069116)	('>50', 12.115732368896925)	('>100', 16.013662849105888)	('>500', 32.5497287522604)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBB1W_S34_L001_R2_001	(1.0, 10.809724733775367)	(2.0, 3.817560779586096)	(3.0, 2.109704641350211)	(4.0, 1.2055455093429777)	(5.0, 1.6073940124573034)	(6.0, 2.049427365883062)	(7.0, 0.5625879043600562)	(8.0, 0.6429576049829214)	(9.0, 1.2658227848101267)	('>10', 15.12959614225437)	('>50', 6.248744223427768)	('>100', 24.050632911392405)	('>500', 0.0)	('>1k', 30.500301386377338)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBS1F_S67_L001_R1_001	(1.0, 7.14498362607919)	(2.0, 3.125930336409646)	(3.0, 1.8309020541827925)	(4.0, 0.8931229532598988)	(5.0, 0.8186960404882405)	(6.0, 0.9824352485858886)	(7.0, 0.7293837451622507)	(8.0, 0.4763322417386127)	(9.0, 0.8038106579339088)	('>10', 14.334623399821375)	('>50', 17.683834474545996)	('>100', 20.24412027389104)	('>500', 14.28996725215838)	('>1k', 16.641857695742782)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBS1F_S67_L001_R2_001	(1.0, 10.03274784161953)	(2.0, 3.0663888061923195)	(3.0, 1.8755582018457875)	(4.0, 1.1312890741292052)	(5.0, 1.26525751711819)	(6.0, 1.1610598392378684)	(7.0, 0.8335814230425722)	(8.0, 0.8335814230425722)	(9.0, 0.5358737719559392)	('>10', 15.09377791009229)	('>50', 6.475141411134267)	('>100', 29.38374516225067)	('>500', 0.0)	('>1k', 28.31199761833879)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBS1P_S30_L001_R1_001	(1.0, 6.172199170124482)	(2.0, 3.941908713692946)	(3.0, 2.3340248962655603)	(4.0, 2.3858921161825726)	(5.0, 1.2966804979253113)	(6.0, 2.3340248962655603)	(7.0, 1.4522821576763485)	(8.0, 1.4522821576763485)	(9.0, 1.1670124481327802)	('>10', 29.279045643153527)	('>50', 15.612033195020746)	('>100', 2.904564315352697)	('>500', 29.66804979253112)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBS1P_S30_L001_R2_001	(1.0, 9.776970954356846)	(2.0, 3.5788381742738586)	(3.0, 1.6338174273858923)	(4.0, 2.4896265560165975)	(5.0, 1.4263485477178424)	(6.0, 1.2448132780082988)	(7.0, 0.7261410788381742)	(8.0, 0.4149377593360996)	(9.0, 2.3340248962655603)	('>10', 22.821576763485478)	('>50', 14.937759336099585)	('>100', 11.74792531120332)	('>500', 0.0)	('>1k', 26.86721991701245)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBS1W_S46_L001_R1_001	(1.0, 7.641770401106501)	(2.0, 3.5269709543568464)	(3.0, 2.0228215767634854)	(4.0, 1.8672199170124482)	(5.0, 0.7780082987551867)	(6.0, 1.0373443983402488)	(7.0, 0.9681881051175657)	(8.0, 1.1065006915629323)	(9.0, 0.3112033195020747)	('>10', 16.026970954356848)	('>50', 17.911479944674966)	('>100', 16.424619640387274)	('>500', 30.37690179806362)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-MBS1W_S46_L001_R2_001	(1.0, 10.961272475795298)	(2.0, 3.561549100968188)	(3.0, 2.0746887966804977)	(4.0, 1.8672199170124482)	(5.0, 1.2102351313969573)	(6.0, 0.9336099585062241)	(7.0, 1.2102351313969573)	(8.0, 1.6597510373443984)	(9.0, 0.46680497925311204)	('>10', 15.369986168741356)	('>50', 5.7745504840940525)	('>100', 25.778008298755182)	('>500', 0.0)	('>1k', 29.132088520055326)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCB1F_S54_L001_R1_001	(1.0, 8.556059841990251)	(2.0, 3.092956799462095)	(3.0, 1.4624306606152295)	(4.0, 0.9413346780971592)	(5.0, 1.176668347621449)	(6.0, 1.109430156328795)	(7.0, 1.6473356866700286)	(8.0, 0.9413346780971592)	(9.0, 1.2102874432677762)	('>10', 20.339552866027905)	('>50', 12.99378046730543)	('>100', 46.52882837451672)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCB1F_S54_L001_R2_001	(1.0, 12.607160867372668)	(2.0, 3.4963859472180197)	(3.0, 2.0171457387796266)	(4.0, 1.3447638258530845)	(5.0, 1.0926206085056311)	(6.0, 0.9077155824508321)	(7.0, 0.8236678433350143)	(8.0, 0.8068582955118508)	(9.0, 0.6051437216338881)	('>10', 15.649689023365271)	('>50', 10.842158345940495)	('>100', 37.72062531517902)	('>500', 12.086064884854597)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCB1P_S5_L001_R1_001	(1.0, 11.644736842105264)	(2.0, 5.614035087719298)	(3.0, 2.5657894736842106)	(4.0, 2.368421052631579)	(5.0, 1.9736842105263157)	(6.0, 1.8421052631578945)	(7.0, 0.9210526315789472)	(8.0, 1.2280701754385965)	(9.0, 0.7894736842105263)	('>10', 21.929824561403507)	('>50', 16.00877192982456)	('>100', 33.114035087719294)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCB1P_S5_L001_R2_001	(1.0, 15.307017543859649)	(2.0, 5.833333333333333)	(3.0, 3.9473684210526314)	(4.0, 2.017543859649123)	(5.0, 1.0964912280701753)	(6.0, 1.1842105263157896)	(7.0, 0.9210526315789472)	(8.0, 1.4035087719298245)	(9.0, 1.9736842105263157)	('>10', 21.228070175438596)	('>50', 11.206140350877194)	('>100', 33.881578947368425)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
