Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20211005-MA-MBB1W_S56_L001_R2_001	(1.0, 10.222740978504037)	(2.0, 3.3654313782705962)	(3.0, 2.363583309016633)	(4.0, 1.206108355218364)	(5.0, 1.4103686411827643)	(6.0, 1.1088415523781734)	(7.0, 1.2936484777745356)	(8.0, 1.0115747495379828)	(9.0, 0.8754012255617158)	('>10', 14.687287228868787)	('>50', 5.699834646435171)	('>100', 22.711798463184515)	('>500', 5.223227312518238)	('>1k', 28.82015368154849)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBS1F_S48_L001_R1_001	(1.0, 9.063120892556931)	(2.0, 3.912578327984105)	(3.0, 2.3383768913342506)	(4.0, 1.7117530184930458)	(5.0, 1.0698456365581537)	(6.0, 1.1004126547455295)	(7.0, 1.3907993275255999)	(8.0, 0.9781445819960263)	(9.0, 1.3755158184319118)	('>10', 20.907840440165064)	('>50', 8.619899128839982)	('>100', 13.617606602475929)	('>500', 0.0)	('>1k', 33.914106678893475)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBS1F_S48_L001_R2_001	(1.0, 13.281369402414795)	(2.0, 4.523918691731621)	(3.0, 2.567629527739569)	(4.0, 1.8951551276173009)	(5.0, 0.9934280910897143)	(6.0, 0.8253094910591471)	(7.0, 1.0698456365581537)	(8.0, 1.344948800244536)	(9.0, 1.3755158184319118)	('>10', 12.868714656885222)	('>50', 13.296652911508483)	('>100', 16.29222069387131)	('>500', 0.0)	('>1k', 29.665291150848233)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBS1P_S26_L001_R1_001	(1.0, 9.803294418679034)	(2.0, 5.085558931712778)	(3.0, 3.0705261474492245)	(4.0, 2.7506796737565966)	(5.0, 1.359347513193667)	(6.0, 2.20694066847913)	(7.0, 0.8955701263393571)	(8.0, 0.8955701263393571)	(9.0, 1.151447305293459)	('>10', 23.284823284823286)	('>50', 3.0225491763953305)	('>100', 11.930273468735008)	('>500', 0.0)	('>1k', 34.54341915880377)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBS1P_S26_L001_R2_001	(1.0, 13.14569006876699)	(2.0, 4.925635694866464)	(3.0, 2.494802494802495)	(4.0, 2.6867103790180713)	(5.0, 1.999040460578922)	(6.0, 1.5352630737246122)	(7.0, 1.0075163921317767)	(8.0, 1.4073244842475612)	(9.0, 1.151447305293459)	('>10', 19.95841995841996)	('>50', 7.324484247561171)	('>100', 11.082680313449544)	('>500', 0.0)	('>1k', 31.280985127138973)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBS1W_S60_L001_R1_001	(1.0, 8.560840024706609)	(2.0, 3.7306979617047564)	(3.0, 2.1865348980852377)	(4.0, 2.0259419394688076)	(5.0, 1.7912291537986413)	(6.0, 0.5188387893761581)	(7.0, 1.5565163681284744)	(8.0, 0.592958616429895)	(9.0, 1.1117974058060531)	('>10', 17.331686226065475)	('>50', 16.590487955528104)	('>100', 15.552810376775788)	('>500', 0.0)	('>1k', 28.449660284126004)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-MBS1W_S60_L001_R2_001	(1.0, 12.835083384805435)	(2.0, 3.6565781346510193)	(3.0, 2.297714638665843)	(4.0, 1.680049413218036)	(5.0, 1.7294626312538603)	(6.0, 0.592958616429895)	(7.0, 1.5565163681284744)	(8.0, 0.9882643607164917)	(9.0, 1.0006176652254477)	('>10', 13.699814700432366)	('>50', 9.129092032118592)	('>100', 19.59234095120445)	('>500', 6.213712168004942)	('>1k', 25.027794935145153)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCB1F_S51_L001_R1_001	(1.0, 7.175095475060757)	(2.0, 2.754310843652355)	(3.0, 1.8747830112255524)	(4.0, 1.0646915866219189)	(5.0, 1.1572734637194768)	(6.0, 0.555491262585349)	(7.0, 0.24302742738109015)	(8.0, 0.4629093854877908)	(9.0, 0.20830922346950584)	('>10', 17.2549473440574)	('>50', 8.78370558963083)	('>100', 32.83184816572156)	('>500', 0.0)	('>1k', 25.633607221386413)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCB1F_S51_L001_R2_001	(1.0, 9.44335146395093)	(2.0, 3.0320564749450294)	(3.0, 1.9095012151371369)	(4.0, 0.9258187709755816)	(5.0, 0.8679550977896076)	(6.0, 0.6249276704085175)	(7.0, 0.7290822821432704)	(8.0, 0.648073139682907)	(9.0, 0.4166184469390117)	('>10', 14.755236662423329)	('>50', 6.781622497396135)	('>100', 35.21583150098368)	('>500', 0.0)	('>1k', 24.649924777224857)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCB1P_S27_L001_R1_001	(1.0, 8.194842406876791)	(2.0, 3.9541547277936964)	(3.0, 1.9340974212034383)	(4.0, 1.3753581661891117)	(5.0, 1.7191977077363898)	(6.0, 1.2034383954154728)	(7.0, 1.1031518624641834)	(8.0, 1.2607449856733524)	(9.0, 0.25787965616045844)	('>10', 19.126074498567334)	('>50', 16.53295128939828)	('>100', 12.664756446991404)	('>500', 0.0)	('>1k', 30.673352435530088)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCB1P_S27_L001_R2_001	(1.0, 11.532951289398282)	(2.0, 4.011461318051576)	(3.0, 1.848137535816619)	(4.0, 1.489971346704871)	(5.0, 1.0744985673352434)	(6.0, 1.3753581661891117)	(7.0, 0.9025787965616046)	(8.0, 1.6045845272206303)	(9.0, 1.0315186246418337)	('>10', 14.355300859598854)	('>50', 8.595988538681947)	('>100', 23.667621776504298)	('>500', 12.593123209169054)	('>1k', 15.916905444126076)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCB1W_S95_L001_R1_001	(1.0, 12.063750581665891)	(2.0, 5.630525825965566)	(3.0, 3.2107957189390413)	(4.0, 1.8147975802698928)	(5.0, 1.5123313168915775)	(6.0, 1.2563983248022337)	(7.0, 1.3029315960912053)	(8.0, 1.4890646812470918)	(9.0, 0.837598883201489)	('>10', 24.813866914844112)	('>50', 8.666821777570963)	('>100', 37.401116798510934)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCB1W_S95_L001_R2_001	(1.0, 16.682177757096323)	(2.0, 5.583992554676594)	(3.0, 3.1060958585388554)	(4.0, 2.0939972080037226)	(5.0, 1.919497440670079)	(6.0, 1.9543973941368076)	(7.0, 1.4657980456026058)	(8.0, 1.5821312238250351)	(9.0, 0.5234993020009306)	('>10', 18.78780828292229)	('>50', 15.949278734295023)	('>100', 16.356444858073523)	('>500', 13.994881340158214)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCS2F_S63_L001_R1_001	(1.0, 7.033842070338421)	(2.0, 3.132050431320504)	(3.0, 1.8712674187126743)	(4.0, 1.3271400132714002)	(5.0, 0.5972130059721301)	(6.0, 0.6370272063702721)	(7.0, 0.46449900464499)	(8.0, 0.424684804246848)	(9.0, 0.23888520238885205)	('>10', 17.120106171201062)	('>50', 12.329130723291307)	('>100', 25.34837425348374)	('>500', 0.0)	('>1k', 29.475779694757797)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCS2F_S63_L001_R2_001	(1.0, 9.9535500995355)	(2.0, 3.556735235567352)	(3.0, 1.7120106171201064)	(4.0, 0.9024552090245521)	(5.0, 0.5972130059721301)	(6.0, 0.7166556071665561)	(7.0, 0.27869940278699407)	(8.0, 0.7431984074319841)	(9.0, 0.4777704047777041)	('>10', 15.500995355009954)	('>50', 4.100862641008626)	('>100', 32.93961512939615)	('>500', 12.753815527538157)	('>1k', 15.766423357664234)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCS2P_S25_L001_R1_001	(1.0, 6.778169014084508)	(2.0, 3.1983568075117366)	(3.0, 2.552816901408451)	(4.0, 2.4061032863849765)	(5.0, 1.687206572769953)	(6.0, 1.3204225352112675)	(7.0, 1.7458920187793425)	(8.0, 1.5258215962441315)	(9.0, 2.112676056338028)	('>10', 21.566901408450704)	('>50', 12.338615023474178)	('>100', 20.525234741784036)	('>500', 22.241784037558684)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCS2P_S25_L001_R2_001	(1.0, 9.683098591549296)	(2.0, 2.875586854460094)	(3.0, 1.6285211267605633)	(4.0, 1.7605633802816902)	(5.0, 0.8802816901408451)	(6.0, 1.7605633802816902)	(7.0, 1.335093896713615)	(8.0, 1.2910798122065728)	(9.0, 1.4524647887323943)	('>10', 21.5962441314554)	('>50', 7.394366197183098)	('>100', 27.699530516431924)	('>500', 20.642605633802816)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCS2W_S75_L001_R1_001	(1.0, 7.081690906619547)	(2.0, 3.0447193149381544)	(3.0, 2.5689819219790673)	(4.0, 0.9242897920347968)	(5.0, 1.0873997553350552)	(6.0, 0.9786597798015495)	(7.0, 0.8563273073263558)	(8.0, 0.434959902134022)	(9.0, 0.36699741742558106)	('>10', 18.553758325404377)	('>50', 9.6642653255403)	('>100', 25.812151692265868)	('>500', 0.0)	('>1k', 28.625798559195324)	('>5k', 0.0)	('>10k+', 0.0)
20211005-MA-SCS2W_S75_L001_R2_001	(1.0, 14.176974310180782)	(2.0, 3.833084137556069)	(3.0, 2.283539486203616)	(4.0, 1.2505097186353131)	(5.0, 0.8835123012097321)	(6.0, 0.8155498165012913)	(7.0, 0.6660323501427212)	(8.0, 0.9786597798015495)	(9.0, 1.4679896697023243)	('>10', 14.041049340763898)	('>50', 3.9282316161478863)	('>100', 30.311268179964664)	('>500', 25.36359929319016)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
3um-Control_S24_L001_R1_001	(1.0, 1.7658877022311514)	(2.0, 0.9516760071904409)	(3.0, 0.7930633393253674)	(4.0, 0.2537802685841176)	(5.0, 0.2643544464417892)	(6.0, 0.5710056043142645)	(7.0, 0.1480384900074019)	(8.0, 0.5075605371682352)	(9.0, 0.47583800359522044)	('>10', 2.8338796658559797)	('>50', 3.584646293750661)	('>100', 2.7915829544252935)	('>500', 0.0)	('>1k', 85.05868668711007)	('>5k', 0.0)	('>10k+', 0.0)
3um-Control_S24_L001_R2_001	(1.0, 4.293116210214656)	(2.0, 1.0785661414824999)	(3.0, 0.5392830707412499)	(4.0, 0.4229671143068626)	(5.0, 0.4229671143068626)	(6.0, 0.2537802685841176)	(7.0, 0.1480384900074019)	(8.0, 0.3383736914454901)	(9.0, 0.3806704028761764)	('>10', 4.779528391667548)	('>50', 2.749286242994607)	('>100', 8.417045574706567)	('>500', 0.0)	('>1k', 0.0)	('>5k', 76.17637728666597)	('>10k+', 0.0)
DNA-Ext-Control_S12_L001_R1_001	(1.0, 2.385625849313)	(2.0, 1.3890985958025064)	(3.0, 0.7247470934621772)	(4.0, 0.7247470934621772)	(5.0, 0.22648346670693037)	(6.0, 0.7247470934621772)	(7.0, 0.528461422316171)	(8.0, 0.48316472897478485)	(9.0, 0.0)	('>10', 6.915295183451608)	('>50', 5.465800996527253)	('>100', 3.623735467310886)	('>500', 0.0)	('>1k', 76.80809300921034)	('>5k', 0.0)	('>10k+', 0.0)
DNA-Ext-Control_S12_L001_R2_001	(1.0, 4.861845085308772)	(2.0, 0.9965272535104936)	(3.0, 0.40767024007247477)	(4.0, 0.6039559112184811)	(5.0, 0.22648346670693037)	(6.0, 0.45296693341386074)	(7.0, 0.10569228446323418)	(8.0, 0.24158236448739243)	(9.0, 0.5435603200966329)	('>10', 5.058130756454779)	('>50', 3.7143288539936585)	('>100', 7.9269213347425636)	('>500', 0.0)	('>1k', 74.86033519553072)	('>5k', 0.0)	('>10k+', 0.0)
MockZymoPos_S84_L001_R1_001	(1.0, 4.241271262309758)	(2.0, 1.7233661593554161)	(3.0, 0.6042972247090421)	(4.0, 0.35810205908683973)	(5.0, 0.5035810205908684)	(6.0, 0.33572068039391223)	(7.0, 0.391674127126231)	(8.0, 0.26857654431512984)	(9.0, 0.20143240823634737)	('>10', 8.247538048343777)	('>50', 0.0)	('>100', 26.499552372426145)	('>500', 32.58728737690242)	('>1k', 24.037600716204118)	('>5k', 0.0)	('>10k+', 0.0)
MockZymoPos_S84_L001_R2_001	(1.0, 10.76544315129812)	(2.0, 2.4619516562220234)	(3.0, 1.342882721575649)	(4.0, 0.8504923903312444)	(5.0, 0.9512085944494181)	(6.0, 0.26857654431512984)	(7.0, 0.391674127126231)	(8.0, 0.26857654431512984)	(9.0, 0.20143240823634737)	('>10', 5.315577439570277)	('>50', 2.8424350940017904)	('>100', 3.681736794986571)	('>500', 57.69919427036705)	('>1k', 12.958818263205012)	('>5k', 0.0)	('>10k+', 0.0)
WaterControl_S96_L001_R1_001	(1.0, 1.4419329696024943)	(2.0, 0.6235385814497272)	(3.0, 0.730709275136399)	(4.0, 0.4286827747466875)	(5.0, 0.5845674201091192)	(6.0, 0.46765393608729544)	(7.0, 0.34099766173031953)	(8.0, 0.1558846453624318)	(9.0, 0.26305533904910366)	('>10', 3.156664068589244)	('>50', 0.5455962587685114)	('>100', 0.0)	('>500', 0.0)	('>1k', 91.26071706936867)	('>5k', 0.0)	('>10k+', 0.0)
WaterControl_S96_L001_R2_001	(1.0, 3.8873733437256432)	(2.0, 0.48713951675759937)	(3.0, 0.5553390491036634)	(4.0, 0.3117692907248636)	(5.0, 0.6332813717848792)	(6.0, 0.23382696804364772)	(7.0, 0.40919719407638344)	(8.0, 0.46765393608729544)	(9.0, 0.26305533904910366)	('>10', 3.5756040530007795)	('>50', 2.8838659392049886)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 86.29189399844115)	('>10k+', 0.0)
